@RELATION linear
@ATTRIBUTE x1 real
@ATTRIBUTE x2 real
@ATTRIBUTE x3 real
@ATTRIBUTE y1 real
@ATTRIBUTE y2 real
@DATA
0.807,0.793,0.006,1.0165,0.1075
0.714,0.164,0.818,1.328,0.284
0.665,0.106,0.754,1.137,0.3495
0.151,0.674,0.577,0.216,-0.387
0.17,0.2,0.629,0.069,0.0705
0.301,0.233,0.602,0.3205,0.1165
0.151,0.961,0.471,0.2535,-0.621
0.728,0.001,0.06,0.5165,0.833
0.447,0.507,0.704,0.8515,-0.1355
0.881,0.254,0.532,1.421,0.4205
0.535,0.549,0.386,0.7305,0.0255
0.219,0.031,0.942,0.3955,0.1075
0.446,0.087,0.634,0.5695,0.319
0.253,0.992,0.58,0.582,-0.6555
0.319,0.398,0.317,0.154,0.103
0.327,0.997,0.49,0.6425,-0.5785
0.248,0.893,0.72,0.6625,-0.629
0.486,0.791,0.265,0.6325,-0.1805
0.894,0.538,0.4,1.457,0.209
0.3,0.866,0.241,0.274,-0.3365
0.72,0.075,0.299,0.7765,0.6355
0.068,0.363,0.913,0.2305,-0.2855
0.433,0.908,0.566,0.886,-0.4745
0.325,0.508,0.118,0.022,0.0955
0.505,0.579,0.396,0.6955,-0.0245
0.344,0.348,0.861,0.723,-0.1065
0.344,0.743,0.962,1.0215,-0.552
0.109,0.99,0.198,-0.089,-0.5345
0.613,0.144,0.431,0.729,0.447
0.877,0.9,0.667,1.871,-0.295
0.937,0.93,0.639,1.978,-0.281
0.68,0.823,0.296,1.0675,-0.131
0.637,0.027,0.292,0.5795,0.6455
0.495,0.87,0.611,1.036,-0.428
0.316,0.985,0.489,0.6135,-0.5715
0.436,0.81,0.824,1.101,-0.504
0.236,0.424,0.816,0.5,-0.214
0.309,0.379,0.769,0.5765,-0.109
0.942,0.978,0.441,1.814,-0.2275
0.484,0.109,0.75,0.7725,0.258
0.8,0.542,0.311,1.182,0.2025
0.098,0.084,0.08,-0.682,0.425
0.728,0.705,0.039,0.8475,0.1395
0.467,0.384,0.426,0.552,0.1365
0.553,0.462,0.783,1.12,-0.077
